職缺名稱,公司名稱,工作地點,薪資範圍,職缺連結,發布日期,截止日期,工作經歷,學歷要求,擅長工具,工作技能,工作內容,職務類別
AI數據科學家/ AI機器學習工程師（金融投資領域）,大拇哥證券投資顧問股份有限公司,台北市大安區,"月薪60,000元以上",https://www.104.com.tw/job/8ngji?jobsource=hotjob_chr_exp,2025/03/11,,經歷不拘,大學,R,AI; 機器學習; Machine Learning; 人工智慧,"工作職責：
1.	模型研發與應用
　　．負責利用機器學習（ML）、深度學習（DL）等技術研發模型，並將其應用於金融投資領域。
　　．進行數據前處理、特徵工程，確保數據質量與模型效能最佳化。
　　．研究並應用先進AI技術（如強化學習、生成對抗網絡、自動化機器學習等），並將其落地於實際業務場景。

2.	模型優化與維護
　　．負責模型上線後的效能追蹤與應用成效評估，持續進行模型優化與迭代。
　　．監控模型運行效能，進行技術方案的穩定性維護與持續改進。

3.     數據分析與洞察
　　．透過數據分析，提供有價值的洞察與建議，協助投資決策。
　　．負責數據收集、標籤定義與數據清理，確保訓練數據的高質量。

4.	技術探索與實作
　　．研究前沿AI技術（如生成式AI、強化學習等），並將其應用於實際業務場景。
　　．配合專案目標及業務需求，優化RAG（Retrieval-Augmented Generation）、 Prompt Engineering等技術，提升模型準確性與應用效果。

5.      AI模型調教與優化
　　．協助調整AI模型輸出，確保其符合業務需求，提供「正確」或「期望」的結果。
　　．與技術團隊密切合作，持續優化AI模型，提升模型的完整性與應用效能。

必要條件：
　　．熟悉機器學習、深度學習等AI技術，了解AI系統運作原理。
　　．具備數據處理與特徵工程的實務經驗，能夠從零開始進行數據清洗與分析。
　　．熱衷於學習最新的人工智慧技術，並有意願不斷提升專業技能。
　　．具備良好的團隊合作能力，能夠與技術團隊及業務部門有效溝通。

加分條件：
　　．有金融投資領域相關經驗者優先。
　　．熟悉生成式AI、強化學習等前沿技術，並有實際應用經驗。
　　．具備RAG、Prompt Engineering等技術的優化經驗。",資料科學家; AI工程師; 演算法工程師
遊戲數據分析師,樂澄娛樂有限公司,台中市西屯區,"月薪45,000元以上",https://www.104.com.tw/job/8icoz?jobsource=joblist_list,2025/02/18,,經歷不拘,學歷不拘,Tableau,遊戲營運; 數據分析,"職務簡介 :
我們正在尋找對開發遊戲以及遊戲數據分析有熱情的專業夥伴，
和學歷比起來我們更重視你的態度與主動學習的心態，
比起獨立作業我們更重視團隊合作。
期待我們可一起進度一同成長，共創一個又一個有趣的遊戲

## 遊戲數據分析師的工作內容：
研究和分析遊戲產品數據。
使用大數據分析系統進行消費者行為分析。
對目標遊戲系統提出分析方法，同時與相關部門合作，確保其符合實務並持續迭代優化。
針對進行中的各項議題提出見解，與相關人員討論並協助其提出改善方案。

## 我們期望你有的技能：
一年以上遊戲數據分析經驗。
熟悉視覺化軟體tableau。
熟悉 Google Analytics。
系統性資料收集及邏輯思考能力。
能獨立向團隊進行數據分析簡報
有良好的團隊合作能力，善於溝通，主動積極。
",數據分析師; 資料科學家; 資料工程師
數據分析師（可外包）,臺北市私立陳蒂國文文理短期補習班,台北市中正區,"時薪200~1,000元",https://www.104.com.tw/job/8hel1?jobsource=joblist_list,2025/03/05,,經歷不拘,學歷不拘,Google Analytics; Google Tag Manager; Google Data Studio; SEO,未提供,"工作內容
1.熟悉GA4、GTM、Meta等事件追蹤、轉換設定。
2.透過GA4、廣告後台數據、系統後台等數據，製作數據分析報告。
3.將數據轉換為易於理解的圖像化報表與簡報。
4.數位廣告操作經驗（Google Ads、Meta Ads等）。
5.熟悉網站SEO相關知識。
5.站台檢測與建議（Google Search Console、Lighthouse、PageSpeed Insights）。
6.自然流量分析與建議。
7.站台流程測試與問題整理。
8.配合部門及主管交辦事項。",數據分析師; 資料科學家; 資料工程師
庫存管理及數據分析師,詠翔股份有限公司,新北市新莊區,"月薪40,000~45,000元",https://www.104.com.tw/job/8mzlh?jobsource=joblist_list,2025/03/10,,經歷不拘,大學,Excel,商品採購作業,"此職位需要和美國各處的銷售點保有良性的溝通, 並且能夠時時刻刻了解當地的銷售量及庫存狀況, 安排至之職位如下:
1. 時時刻刻掌握美國六個倉庫的庫存狀況, 並提出採購建議
2. 假設有特定商品忽然大量出貨, 能即時提出警示, 並協調調或下單
3. 了解美國端採購的習性, 並作為台美兩公司的協調窗口
4. 熟悉Excel 的使用, 並且能夠製作分析報表
5. 對數字有一定程度的敏感度, 能主動發現問題
                                 ",採購人員; 數據分析師
數據分析師,雅德思行銷顧問有限公司,台北市大安區,"月薪48,000元以上",https://www.104.com.tw/job/8e1m7?jobsource=joblist_list,2025/03/03,,2年以上,大學,未提供,專案溝通╱整合管理; 專案管理架構及專案說明; 協商談判能力; 數據分析,"我們是雅德思行銷是一家新創行銷顧問公司，我們的成員夥伴都是一群年輕、活潑、充滿創意點子的人，期待不同新血加入我們，激盪出更多創意火花。

我們善於以正向思考去看待任何事物，尊重每一個人的人格特質，重視發掘每個人的天賦，讓您發揮所長，歡迎對人生與喜愛冒險的您一起加入我們雅德思行銷顧問公司!

我們重視每一位夥伴，再創新的過程中我們協助客戶成長也跟著客戶一起成長，我們重視團隊也強調個人的發展與想法，發揮創意也包容他人的想法，是雅德思行銷的文化與DNA。

數據分析師主要工作內容
1.依據行銷數據，診所營運數據進行分析給予分析建議
2.將原始數據做成視覺化報表呈現
3.應用多種統計方法進行數據分析

本職位適合具備以下技能的夥伴
1.統計知識
2.資料分析相關工作經驗一年以上家",系統分析師; 數據分析師; 資料科學家
數據分析師,榮信興業股份有限公司,台北市大安區,"月薪40,000~70,000元",https://www.104.com.tw/job/8lutt?jobsource=joblist_list,2025/03/12,,經歷不拘,學歷不拘,Linux; Python,未提供,"部門簡介

本部門為母集團董事會直屬的特別單位，專注於行銷領域的 AI 模型開發，服務範疇涵蓋英國母集團、台灣大型行銷公司，以及演藝、政治、經紀相關產業。

職務描述

	•	負責網絡數據的爬蟲與整理，利用爬蟲工具進行網路數據收集與清理。
	•	進行口碑與聲量的分析，提供營銷洞察，支持團隊營銷數據應用。
	•	利用自動化工具執行日常網站維護工作。

技術要求

1. 開發經驗

	•	具備 Python 實務開發經驗。
	•	熟悉 API 開發者尤佳。
	•	能在各作業系統開發（Windows,Linux,macOS）

2. 爬蟲相關技能

	•	熟悉 Selenium、Beautiful Soup（bs4）等工具

3. 其他技能

	•	對機器學習有基本了解者尤佳。
	•	具備自動化工具開發與維護能力。",市場調查／市場分析; 資料科學家; AI工程師
數位行銷數據分析師,綠界大數據應用科技股份有限公司,台北市南港區,"月薪40,000~48,000元",https://www.104.com.tw/job/8mi6u?jobsource=joblist_bact_n,2025/03/10,,經歷不拘,高中,SEO; Google關鍵字廣告; Power BI​; Google Data Studio; Google Trend; Google Tag Manager; Google Analytics; ChatGPT,消費者行為; 廣告企劃案╱文案撰寫; 數據分析; 市場趨勢分析; 調查樣本統計分析,"綠界大數據 是台灣專精於商業領域的電商顧問，不僅是廣告投放，我們提供客戶更全方位的商業諮詢和電商行銷漏斗優化建議；未來更會結合市場的數據資訊，給予客戶更全面的商業和行銷策略與建議。

我們希望尋找對電商、數位廣告、數據分析有興趣的你，協助台灣各大品牌創造更佳的銷售業績。

申請職缺詳情請參閱以下內容

【面試官希望你先知道的事情】

＊此職位有基礎個人特質測驗，與可能的團體面試

以下為基礎職缺資訊，竭誠歡迎有能力有企圖心的未來夥伴投遞履歷。

【在這份工作你需要具備什麼】
1. 廣告基礎概念 / 數據分析基礎概念 —了解廣告投放與數據應用。
2. GA分析 —使用 Google Analytics 追蹤流量與用戶行為。
3. GSC分析 —分析 Google Search Console 搜尋表現。
4. 微軟分析 —運用 Microsoft Clarity 等工具分析數據。
5. 廣告數據(mt/gad) —解讀 Meta、Google Ads 廣告數據。
6. CRM分析 —會員數據分析，優化行銷策略。
7. 訂單分析 —解析消費趨勢，提高轉換與留存。
8. 大數據分析 —挖掘市場機會，支援決策。
9. 週報/月報/數據報 —定期產出數據報告，提供優化建議。

【這些會是你的加分項目】
1. 喜歡觀察社群議題時事熱度
2. 平日有追蹤各大行銷社團粉絲團樂於學習
3. 在學社團經驗有公關/社長/會長經驗
4. 在學實習有乙方行銷/公關/新創公司經驗
5. 在學期間修習或自主學習數位廣告Google/Facebook廣告課程
6. 懂得應用各式AI工具

【我們期待的個人特質】
1. 有基本邏輯論述能力
2. 數據敏感度高，善於從數據找出問題與機會
3. 擁有邏輯思維，能夠透過分析找出優化方案
4. 懂得主動回報，卡關懂得求助發問
5. 喜歡鑽研或熱衷學習新知識的雜學派
6. 對人感興趣，有同理心

---
【行銷企劃師】、【行銷數據分析師】、【行銷專案管理師】，
不管你擔任哪一個專業職務，都有機會跨項目多修挑戰全方位的【品牌行銷顧問】
準備好大展身手？馬上投遞履歷！ 
",數位行銷; 數據分析師; 電商行銷
營運數據分析師,D+AF_朵芙時尚國際有限公司,新北市中和區,未提供,https://www.104.com.tw/job/8nary?jobsource=joblist_bact_n,2025/03/06,,3年以上,專科,R,未提供,"1.負責營運數據蒐集、整理與視覺化，建立報表與Dashboard，協助團隊掌握關鍵指標。
2.研究會員數據與顧客行為，提供洞察分析，並支援CRM策略執行與優化。
3.分析廣告投放效益與網站、社群媒體流量，提出具體建議以提升營運成效。
4.與行銷、實體門市等跨部門合作，追蹤專案數據，提供決策建議與優化方案。
5.其他主管交辦事項。",產品管理師; 營運管理師／系統整合／ERP專案師; 數據分析師
商業數據分析師,菲律賓商泰鑫全球顧問有限公司,台北市南港區,未提供,https://www.104.com.tw/job/8jkun?jobsource=joblist_bact_n,2024/12/04,,經歷不拘,大學,R; PostgreSQL; AWS; Azure; Power BI; SQL; Tableau; MySQL; GCP; Python,未提供,"■【主要職責】
BI數據儀表板設計及開發 。
負責營運、遊戲、業務相關的數據分析工作，包含資料蒐集、處理、分析及建模。
協助團隊進行數據探索、訂定關鍵指標，為產品方向和策略提供數據支持，並提出具可行性的建議。
監控各類營運數據及成效數據之變動情況，提出市場分析及營運策略優化建議。
協助調研資料分析的新技術與新工具。
■【期望條件】
具備大數據處理之相關技術並熟悉統計原理與實際應用
孰悉使用Python程式語言
Python與資料科學套件操作
孰悉資料庫及SQL語言應用  -> 孰悉使用SQL （MySQL/PostgreSQL）
12:17
機器學習部分：
了解基本的機器學習算法，能進行數據建模和預測分析。
熟悉Scikit-Learn或TensorFlow等常見的數據科學工具和框架。
若涉及大數據分析和雲端數據庫管理，了解雲端平台（如AWS、Azure、GCP）相關工具也是加分技能。

孰悉資料庫及SQL語言應用（Database/Coding）
資料視覺化呈現能力如孰悉Tableau 或 Power BI
具備工作熱忱與團隊合作精神,善於溝通與解決問題
具有GA經驗尤佳
有機器學習與人工智慧（Machine Learning and AI）建模之能力與實作經驗尤佳
",數據分析師; 市場調查／市場分析; 資料庫管理人員
數據分析師,艾捷科技有限公司,台中市南屯區,未提供,https://www.104.com.tw/job/8lfww?jobsource=joblist_bact_n,2025/03/04,,1年以上,大學,Git; Python; MySQL; RDBMS; AWS; Google Analytics,數據分析; Machine Learning; 機器學習; 深度學習; 資料庫軟體應用,"1. 觀測及分析數據，執行數據分析、行銷效益分析、產生具備商業價值的數據洞察。
2.與業務/產品部門合作，協助分析數據、數據視覺化，並協同轉化成可執行方案，並追蹤方案成效(時序數據分析、設備預警-設備異常識別預測異常)
3.具Python、SQL程式撰寫能力、資料結構，資料探勘，資料分析實務經驗，基礎程式能⼒並熟悉巨量資料處理與分析，熟悉資料分析技術(統計學、機器學習、深度學習、強化學習、等)，可經營數據中台，把關資料來源品質，確保資料的正確性、可用性，及確保能夠滿足分析需求，發想及規劃數據應用，執行產品推薦、自動化導入或實作
4.其他主管交辦任務。

數據分析師是當前最熱門、最具發展前景的職業之一，因為企業對大數據的需求越來越高。作為一個數據分析師，你將成為企業決策的重要支持者，通過深入分析和挖掘數據，幫助企業制定更科學、更有效的決策。隨著大數據技術的不斷發展，數據分析師的職業前景將會更加光明。
如果您具備以上職位要求，歡迎您加入我們的團隊，一起打造更好的未來！",數據分析師; 資料工程師; 資料科學家
