antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Excel', 'PowerPoint'})",frozenset({'Word'}),0.22988505747126436,0.1781609195402299,0.15517241379310345,0.675,3.788709677419355,1.0,0.11421588056546439,2.5287356321839085,0.9557766721945825,0.6136363636363636,0.6045454545454546,0.7729838709677419
frozenset({'Word'}),"frozenset({'Excel', 'PowerPoint'})",0.1781609195402299,0.22988505747126436,0.15517241379310345,0.8709677419354839,3.7887096774193547,1.0,0.11421588056546439,5.968390804597702,0.8956228956228955,0.6136363636363636,0.8324506499759267,0.7729838709677419
frozenset({'PowerPoint'}),frozenset({'Word'}),0.23275862068965517,0.1781609195402299,0.15517241379310345,0.6666666666666667,3.741935483870968,1.0,0.11370392390011891,2.465517241379311,0.9550561797752809,0.6067415730337078,0.5944055944055945,0.7688172043010753
frozenset({'Word'}),frozenset({'PowerPoint'}),0.1781609195402299,0.23275862068965517,0.15517241379310345,0.8709677419354839,3.741935483870968,1.0,0.11370392390011891,5.946120689655173,0.8916083916083916,0.6067415730337078,0.831823124320406,0.7688172043010753
"frozenset({'Excel', 'Word'})",frozenset({'PowerPoint'}),0.1781609195402299,0.23275862068965517,0.15517241379310345,0.8709677419354839,3.741935483870968,1.0,0.11370392390011891,5.946120689655173,0.8916083916083916,0.6067415730337078,0.831823124320406,0.7688172043010753
frozenset({'PowerPoint'}),"frozenset({'Excel', 'Word'})",0.23275862068965517,0.1781609195402299,0.15517241379310345,0.6666666666666667,3.741935483870968,1.0,0.11370392390011891,2.465517241379311,0.9550561797752809,0.6067415730337078,0.5944055944055945,0.7688172043010753
frozenset({'Word'}),frozenset({'Excel'}),0.1781609195402299,0.3936781609195402,0.1781609195402299,1.0,2.54014598540146,1.0,0.108022856387898,inf,0.7377622377622377,0.4525547445255474,1.0,0.7262773722627738
"frozenset({'PowerPoint', 'Word'})",frozenset({'Excel'}),0.15517241379310345,0.3936781609195402,0.15517241379310345,1.0,2.54014598540146,1.0,0.09408442330558858,inf,0.7176870748299319,0.39416058394160586,1.0,0.6970802919708029
frozenset({'PowerPoint'}),frozenset({'Excel'}),0.23275862068965517,0.3936781609195402,0.22988505747126436,0.9876543209876544,2.508786158421195,1.0,0.13825307173999207,49.112068965517466,0.7838483146067415,0.5797101449275363,0.9796384061786906,0.7857979634135352
frozenset({'Excel'}),frozenset({'PowerPoint'}),0.3936781609195402,0.23275862068965517,0.22988505747126436,0.583941605839416,2.5087861584211946,1.0,0.13825307173999207,1.8440713853599515,0.9918838862559242,0.5797101449275363,0.45772164356598044,0.7857979634135352
frozenset({'MS SQL'}),frozenset({'Python'}),0.20689655172413793,0.4224137931034483,0.1235632183908046,0.5972222222222222,1.413832199546485,1.0,0.03616726119698771,1.4340071343638525,0.36905965621840237,0.24431818181818185,0.302653399668325,0.44486961451247165
frozenset({'Tableau'}),frozenset({'Python'}),0.21264367816091953,0.4224137931034483,0.11781609195402298,0.5540540540540541,1.311638168781026,1.0,0.027992469282600074,1.2951933124346917,0.3017625066761616,0.22777777777777775,0.22791448164582492,0.4164828093399522
